conversation_id,created_at,favorite_count,full_text,id,reply_count,retweet_count,startUrl,symbols/0,symbols/1,symbols/2,symbols/3,url,urls/0/display_url,urls/0/expanded_url,urls/0/url,user/advertiser_account_type,user/blocked_by,user/blocking,user/business_profile_state,user/can_dm,user/contributors_enabled,user/created_at,user/default_profile_image,user/description,user/ext_has_nft_avatar,user/ext_is_blue_verified,user/fast_followers_count,user/favourites_count,user/follow_request_sent,user/followed_by,user/followers_count,user/following,user/friends_count,user/geo_enabled,user/has_custom_timelines,user/id,user/id_str,user/is_translation_enabled,user/is_translator,user/lang,user/listed_count,user/location,user/media_count,user/muting,user/name,user/normal_followers_count,user/notifications,user/profile_background_color,user/profile_background_image_url,user/profile_background_image_url_https,user/profile_background_tile,user/profile_banner_extensions_sensitive_media_warning,user/profile_banner_url,user/profile_image_extensions_sensitive_media_warning,user/profile_image_url,user/profile_image_url_https,user/profile_sidebar_border_color,user/profile_sidebar_fill_color,user/profile_text_color,user/profile_use_background_image,user/protected,user/require_some_consent,user/screen_name,user/statuses_count,user/time_zone,user/translator_type,user/url,user/utc_offset,user/verified,user/want_retweets,user_mentions/0/id_str,user_mentions/0/name,user_mentions/0/screen_name,view_count
1.62871E+18,2023-02-23T10:37:36.000Z,6,The socks nobody can get enough of in the World! Seniors don’t go anywhere,1.62871E+18,0,0,https://mobile.twitter.com/search?q=%24aapl+%28from%3Ajimcramer%29+lang%3Aen+until%3A2023-02-01+since%3A2021-12-01&src=typed_query&f=live,,,,,https://twitter.com/heomai2019/status/1628705626946957314,,,,promotable_user,,,none,,FALSE,2022-11-11T06:14:17.000Z,FALSE,"We have two unswerving pursuits in business operation: One is to constantly explore and find better materials, technologies and styles, so as to provide custome",FALSE,FALSE,0,0,,,352,,1,FALSE,FALSE,1.59095E+18,1.59095E+18,FALSE,FALSE,,4,,1,,Heomai,352,,F5F8FA,,,FALSE,,https://pbs.twimg.com/profile_banners/1590951001762459648/1669196136,,http://pbs.twimg.com/profile_images/1595350580410871808/v8IujzZQ_normal.jpg,https://pbs.twimg.com/profile_images/1595350580410871808/v8IujzZQ_normal.jpg,C0DEED,DDEEF6,333333,TRUE,FALSE,FALSE,heomai2019,1,,none,https://t.co/zMmttNA8MI,,FALSE,,,,,17541
1.54945E+18,2022-07-19T17:30:00.000Z,80,"What caused $AAPL to move the market? @jeffmarkscnbc and I broke it down for CNBC Investing Club subscribers earlier in our Morning Meeting.

Get a sneak peek here:

https://t.co/gP2sqMqQCc",1.54945E+18,53,8,https://mobile.twitter.com/search?q=%24aapl+%28from%3Ajimcramer%29+lang%3Aen+until%3A2023-02-01+since%3A2021-12-01&src=typed_query&f=live,AAPL,,,,https://twitter.com/jimcramer/status/1549446472147550211,cnbc.com/video/2022/07/…,https://www.cnbc.com/video/2022/07/19/jim-cramer-explains-why-apples-news-moved-the-market.html?__source=investingclub|twitter|cramer|morningmeeting&tpcc=investingclub|twitter|cramer|morningmeeting,https://t.co/gP2sqMqQCc,promotable_user,,,none,,FALSE,2008-03-25T15:16:57.000Z,FALSE,Host of @madmoneyoncnbc and I run the CNBC Investing Club. Follow along and join my mailing list at https://t.co/YXMQz9ylR3,FALSE,FALSE,0,12731,,,2010686,,688,TRUE,TRUE,14216123,14216123,FALSE,FALSE,,18206,New York City,6422,,Jim Cramer,2010686,,0,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,TRUE,,https://pbs.twimg.com/profile_banners/14216123/1637266410,,http://pbs.twimg.com/profile_images/1461426655046606860/PzlSk4fZ_normal.jpg,https://pbs.twimg.com/profile_images/1461426655046606860/PzlSk4fZ_normal.jpg,FFFFFF,C7C7C7,0,TRUE,FALSE,FALSE,jimcramer,124137,,none,https://t.co/GnLAn0PlX8,,TRUE,,9.41068E+17,Jeff Marks,jeffmarkscnbc,
1.52006E+18,2022-04-29T15:34:51.000Z,85,"Get a sneak peak into what subscribers to the CNBC investing club get access to every day in our Morning Meeting... check out our take on $AAPL earnings ⬇️

https://t.co/GDNYljJ7Pv",1.52006E+18,75,3,https://mobile.twitter.com/search?q=%24aapl+%28from%3Ajimcramer%29+lang%3Aen+until%3A2023-02-01+since%3A2021-12-01&src=typed_query&f=live,AAPL,,,,https://twitter.com/jimcramer/status/1520064076772167680,cnb.cx/3LucU4N,https://cnb.cx/3LucU4N,https://t.co/GDNYljJ7Pv,promotable_user,,,none,,FALSE,2008-03-25T15:16:57.000Z,FALSE,Host of @madmoneyoncnbc and I run the CNBC Investing Club. Follow along and join my mailing list at https://t.co/YXMQz9ylR3,FALSE,FALSE,0,12731,,,2010686,,688,TRUE,TRUE,14216123,14216123,FALSE,FALSE,,18206,New York City,6422,,Jim Cramer,2010686,,0,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,TRUE,,https://pbs.twimg.com/profile_banners/14216123/1637266410,,http://pbs.twimg.com/profile_images/1461426655046606860/PzlSk4fZ_normal.jpg,https://pbs.twimg.com/profile_images/1461426655046606860/PzlSk4fZ_normal.jpg,FFFFFF,C7C7C7,0,TRUE,FALSE,FALSE,jimcramer,124137,,none,https://t.co/GnLAn0PlX8,,TRUE,,,,,
1.46859E+18,2021-12-08T14:22:11.000Z,40,"$PFE, $AAPL, $SWK, $SFIX &amp; more in this morning’s club member newsletter. 

Make sure you’re on the list ahead of tomorrow’s live club member event at 12:30p ET at https://t.co/GUkgq8DNo3",1.46859E+18,24,3,https://mobile.twitter.com/search?q=%24aapl+%28from%3Ajimcramer%29+lang%3Aen+until%3A2023-02-01+since%3A2021-12-01&src=typed_query&f=live,PFE,AAPL,SWK,SFIX,https://twitter.com/jimcramer/status/1468586712318328834,CNBC.com/investingclub,http://CNBC.com/investingclub,https://t.co/GUkgq8DNo3,promotable_user,,,none,,FALSE,2008-03-25T15:16:57.000Z,FALSE,Host of @madmoneyoncnbc and I run the CNBC Investing Club. Follow along and join my mailing list at https://t.co/YXMQz9ylR3,FALSE,FALSE,0,12731,,,2010686,,688,TRUE,TRUE,14216123,14216123,FALSE,FALSE,,18206,New York City,6422,,Jim Cramer,2010686,,0,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,TRUE,,https://pbs.twimg.com/profile_banners/14216123/1637266410,,http://pbs.twimg.com/profile_images/1461426655046606860/PzlSk4fZ_normal.jpg,https://pbs.twimg.com/profile_images/1461426655046606860/PzlSk4fZ_normal.jpg,FFFFFF,C7C7C7,0,TRUE,FALSE,FALSE,jimcramer,124137,,none,https://t.co/GnLAn0PlX8,,TRUE,,,,,
