,date,open,high,low,close,adjclose,volume,sma_20,sma_50,ema_20,ema_50,macd_value,macd_signal
0,2014-12-03,28.9375,29.087499618530273,28.77750015258789,28.982500076293945,26.048669815063477,172253600,28.50062484741211,26.69185001373291,28.495155818671623,27.587069396203113,0.6628149592799311,0.7432611833923248
1,2014-12-04,28.9424991607666,29.299999237060547,28.822500228881836,28.872499465942383,25.94980812072754,168178000,28.583499813079833,26.76055000305176,28.53129179205494,27.644672831996353,0.6114573371592655,0.7169001733540922
2,2014-12-05,28.997499465942383,29.020000457763672,28.65999984741211,28.75,25.83970832824707,153275600,28.662249851226807,26.846199989318848,28.552225174964683,27.69392970696711,0.5546255269373788,0.684445006904355
3,2014-12-08,28.524999618530273,28.662500381469727,27.905000686645508,28.100000381469727,25.25550651550293,230659600,28.70462484359741,26.90444999694824,28.508961622330364,27.711929248570073,0.45267657019060437,0.6380910485760609
4,2014-12-09,27.547500610351562,28.575000762939453,27.337499618530273,28.530000686645508,25.64197540283203,240832000,28.770749855041505,26.974500007629395,28.51097352728182,27.748006817283265,0.40148835900328805,0.5907702893515315
5,2014-12-10,28.602500915527344,28.712499618530273,27.885000228881836,27.987499237060547,25.15439224243164,178261200,28.798874855041504,27.030499992370604,28.460934658844444,27.758517269711746,0.3140702160709061,0.5354300676430553
6,2014-12-11,28.065000534057617,28.450000762939453,27.834999084472656,27.905000686645508,25.080242156982422,165606800,28.80349988937378,27.092700004577637,28.40781166210427,27.764916008358675,0.23550115852875564,0.4754441062728941
7,2014-12-12,27.614999771118164,27.967500686645508,27.395000457763672,27.4325008392334,24.655574798583984,224112400,28.764874935150146,27.14185001373291,28.314644209591552,27.7504599058376,0.13397656032095284,0.4071504335516481
8,2014-12-15,27.674999237060547,27.899999618530273,26.587499618530273,27.0575008392334,24.31853485107422,268872400,28.69049997329712,27.184900016784667,28.194589000401994,27.720452639292372,0.023298629730010845,0.33037992572424457
9,2014-12-16,26.592500686645508,27.540000915527344,26.565000534057617,26.6875,23.985992431640625,243162800,28.6,27.22055000305176,28.05070183554498,27.67590468690919,-0.09291420193099498,0.2457209704537252
10,2014-12-17,26.780000686645508,27.459999084472656,26.704999923706055,27.352500915527344,24.583667755126953,213647200,28.524250030517578,27.273850021362303,27.98405779509501,27.662011651238185,-0.1302950786652204,0.17051766843095612
11,2014-12-18,27.967500686645508,28.162500381469727,27.665000915527344,28.162500381469727,25.311677932739258,236024800,28.499000072479248,27.33310001373291,28.0010867077665,27.683431864854555,-0.09398517043241839,0.11761704877350442
12,2014-12-19,28.065000534057617,28.309999465942383,27.915000915527344,27.94499969482422,25.116193771362305,353719200,28.442375087738036,27.38690002441406,27.995735312225683,27.69458663353071,-0.08169190784566638,0.07775522617258078
13,2014-12-22,28.040000915527344,28.372499465942383,27.99250030517578,28.235000610351562,25.376840591430664,180670000,28.398250102996826,27.447950019836426,28.018560206314675,27.71755423705196,-0.04815145298163159,0.05257387453514771
14,2014-12-23,28.3075008392334,28.332500457763672,28.114999771118164,28.135000228881836,25.28696060180664,104113600,28.322125148773193,27.511600036621093,28.029666339334224,27.735237620956436,-0.029253713475220877,0.03620834871482835
15,2014-12-24,28.145000457763672,28.177499771118164,28.002500534057617,28.002500534057617,25.167877197265625,57918400,28.25225019454956,27.577900047302247,28.027075614804854,27.746523619156147,-0.024623927799780176,0.024041888524219717
